agent,reference_sex,age_bin,target_agent,n_cases_clean,n_windows_clean,n_female,n_male,mean_age,mean_agent,sd_agent,mean_mac,mean_bis,sd_bis,mean_sef,sd_sef,mean_sqi,delta_power_db,theta_power_db,alpha_power_db,beta_power_db,alpha_peak_freq,alpha_peak_power_db,alpha_delta_diff_db,usable_cell
des,all,20-24,7.2,1,1,1,0,24.0,7.194166481494904,,1.0,29.403333361943563,,12.624499940872193,,100.0,18.84597821673644,13.847309269493138,13.053888061567624,-0.9063531743222888,8.5,15.56908999930566,-5.792090155168815,False
des,all,20-24,7.3,1,1,0,1,21.0,7.317500174045563,,1.0,28.8225000222524,,13.086999988555908,,100.0,21.75375860294318,13.632042600683803,13.256213423060135,0.8170630517317307,9.5,16.0673378452997,-8.497545179883042,False
des,all,20-24,7.5,3,3,2,1,22.333333333333332,7.506944437821706,0.012756612837895519,1.0,29.446111143959893,4.5023702303603965,11.258583323160806,1.6798242518900304,98.42694494459364,22.179906809233568,13.825782395509727,10.035079187024222,-1.7605660797426987,8.5,12.92513261602,-12.144827622209348,True
des,all,20-24,7.8,1,1,0,1,22.0,7.794166835149129,,1.0,24.82166670163473,,10.346999955177306,,88.25833320617676,29.063618102227213,20.13977627093422,15.615892073643105,8.267224805927981,8.5,11.872955397744024,-13.44772602858411,False
des,all,20-24,8.0,1,1,1,0,21.0,8.021666852633158,,1.065833349029223,33.97000002861023,,9.155916674931843,,98.16249980926514,21.479944419775272,16.201203625831624,13.56774374746011,9.018912723611708,8.5,3.326399295291027,-7.912200672315162,False
des,all,20-24,8.5,1,1,0,1,22.0,8.502500025431315,,1.1166666944821677,26.112500031789143,,11.350166646639506,,98.34333426157632,26.6692379681811,17.02993974126703,12.491313629894416,1.9207892337619823,9.5,14.315988132810288,-14.177924338286685,False
des,all,25-29,2.5,4,4,3,1,27.25,2.5066666886210442,0.01269293124486552,0.4333333373069763,53.237083347638446,9.307435245966916,16.481374967098237,3.132447662403165,94.54020811716715,14.192719388289646,5.400455957235105,8.368095065027326,-0.8001157034941103,11.5,9.313347956911517,-5.824624323262321,True
des,all,25-29,3.0,3,3,2,1,27.0,3.0,0.0008333245913187959,0.5999999940395355,46.98000013563368,8.076884733420835,15.407166677051121,1.5807316400449658,97.05444463094075,20.52302706651902,13.889904309854904,13.433095162766314,3.487755589278516,10.5,13.045361071696183,-7.089931903752704,True
des,all,25-29,3.1,1,1,1,0,25.0,3.0999999046325684,,0.6000000238418579,54.32166668574016,,17.421916564305622,,95.10916811625162,25.330957380202747,18.371563184964884,16.091375525551555,6.93164701915682,10.5,15.235021280346364,-9.239581854651192,False
des,all,25-29,3.4,1,1,1,0,25.0,3.4475000500679016,,0.7058333228031795,48.86500015258789,,15.988499943415324,,91.34916547139484,24.471080657946494,20.709890497398327,17.41624695606346,11.378217734440897,9.5,14.417392317458194,-7.054833701883037,False
des,all,25-29,3.5,8,8,3,5,26.625,3.5106249923507375,0.016866349398973544,0.5213541725960871,45.77781250874202,7.41791453608707,14.404927069942158,2.433609409859382,96.6215629418691,20.431751600281554,11.102209157281866,11.355627270126064,1.2770215851494138,11.5,12.237291212354801,-9.076124330155489,True
des,all,25-29,3.6,1,1,0,1,27.0,3.5791666507720947,,0.5,34.35416663487752,,12.404416648546857,,95.36249904632568,25.34504393563884,12.599991445243464,10.371835917681068,0.6689052480166222,8.5,11.917913352649125,-14.97320801795777,False
des,all,25-29,3.8,1,1,0,1,29.0,3.842500013113022,,0.5,43.36416664123535,,14.862999947865804,,99.130832862854,20.46430941989208,13.81218643034247,15.987653992993982,4.9734880842860365,11.5,17.471346051156495,-4.4766554268980965,False
des,all,25-29,3.9,1,1,1,0,28.0,3.931666706005733,,0.6000000238418579,55.37583354314168,,16.794916598002114,,91.67000096638998,26.51864972935345,22.142486807686904,17.012190508044224,9.080665920466918,11.5,15.806606120027377,-9.506459221309225,False
des,all,25-29,4.0,9,9,5,4,26.77777777777778,3.997592588044979,0.021304825401896064,0.5964814957645205,44.0778703601272,13.673128413018139,14.561185182465445,2.802550944234607,96.04213027247677,22.15882567505446,12.149462720213402,10.924563916059457,2.1335744763015323,10.5,11.758372416411296,-11.234261758995002,True
des,all,25-29,4.3,1,1,1,0,27.0,4.3416668176651,,0.8999999761581421,43.00500005086263,,12.8637499888738,,100.0,25.36784750556496,13.359788438025378,10.341003413202028,0.6085850220947537,11.5,10.918093911506832,-15.026844092362932,False
des,all,25-29,4.5,9,9,6,3,27.0,4.4986111124356585,0.012923373024691662,0.6665740807299261,44.18879632596616,6.530830565460491,14.607972205126726,2.093300261429076,96.09018558926053,20.97384650555423,12.018442479922541,11.852120774242337,2.0345131276745527,10.5,12.04379855071071,-9.121725731311892,True
des,all,25-29,5.0,8,8,6,2,26.625,5.005625001092752,0.014480070108509118,0.7298958256840706,44.30041665236155,8.084883377080251,15.013822874426843,2.111209760598907,95.30687540372213,21.64204021908217,15.011001965625805,13.3927904024703,4.892804422029841,10.0,12.59676171158199,-8.24924981661187,True
des,all,25-29,5.1,1,1,1,0,28.0,5.068333268165588,,0.699999988079071,24.075833304723105,,10.981833322842917,,91.2833335240682,26.09437810324184,13.334532951656806,11.43417972036566,-1.4380812364565474,9.5,13.849436814165966,-14.660198382876182,False
des,all,25-29,5.2,1,1,0,1,28.0,5.15666651725769,,0.8999999761581421,35.34416669209798,,10.954416640599568,,92.06250057220458,30.89091135419272,17.42638055920861,8.330401539953119,1.275795440945243,8.5,6.70969229890473,-22.5605098142396,False
des,all,25-29,5.5,11,11,6,5,26.636363636363637,5.507575753963355,0.014105030256889486,0.828181822010965,40.190151539715856,7.392996259114757,14.111121186343105,1.8280951397145822,96.0465913772583,20.707637790899163,9.750979018686792,9.283043679386553,-1.1349949067908787,9.5,10.32596847787108,-11.424594111512613,True
des,all,25-29,5.6,4,4,3,1,26.75,5.5695832669734955,0.021629220553937786,0.7970833445588748,37.61104169686635,9.354587839724104,14.56868748466174,2.350406111798671,98.37687536875407,22.564910193055635,14.998868850140624,13.595350219285612,3.1321896659636126,10.0,15.775217229883154,-8.969559973770027,True
des,all,25-29,5.8,2,2,1,1,28.0,5.824583500623704,0.008838826335462142,0.9408333490292231,34.26250007947286,14.475654380634234,10.529374972979229,0.25638515757223956,99.41541697184246,21.916643706509632,9.593026055313704,5.313487383657911,-5.382549462568601,8.5,7.989673804991801,-16.60315632285172,False
des,all,25-29,5.9,1,1,1,0,25.0,5.948333382606506,,0.800000011920929,44.20499989191691,,13.19749992688497,,93.58500003814696,29.908223881538717,18.047638475403552,15.047542628211284,6.799112881690093,10.5,12.251301512226949,-14.86068125332743,False
des,all,25-29,6.0,9,9,5,4,26.555555555555557,5.997037039862739,0.009538938032780437,0.8333333333333334,35.940555526592114,7.213725996041769,12.998379616825668,2.615140855141091,95.52462974124484,21.75896636982094,13.246527938705968,10.783803398512694,1.1188369145417632,9.5,11.09327274564027,-10.975162971308244,True
des,all,25-29,6.2,1,1,1,0,26.0,6.164999842643738,,0.8999999761581421,36.68583335876465,,11.349999984105429,,92.4566661198934,29.50288719011683,17.335229700695614,13.479582015840956,3.220810349123779,8.5,14.242599281948005,-16.023305174275876,False
des,all,25-29,6.4,1,1,1,0,27.0,6.360000133514404,,0.8949999779462814,29.210833326975504,,11.813833300272623,,99.85000006357828,19.445829577216493,12.831927220050932,10.575216902110592,-2.383921460998585,8.5,13.145425006164157,-8.870612675105901,False
des,all,25-29,6.5,9,9,7,2,26.77777777777778,6.50638888279597,0.018722183760667983,0.922222203678555,35.394074039106016,7.8016717171638845,13.982611102528042,1.5597032941595304,96.97805549480296,20.198075505460857,12.867818108330551,11.280322723018877,1.042901116809912,8.5,12.427688116640207,-8.917752782441978,True
