age_bin,target_agent,template_path,n_windows_requested,status,error_preview
50-54,1.9,data\dsa_templates_v1\age_50_54_et_1.9.npz,75,ok,
50-54,2.0,data\dsa_templates_v1\age_50_54_et_2.0.npz,71,ok,
50-54,2.1,data\dsa_templates_v1\age_50_54_et_2.1.npz,77,ok,
50-54,2.2,data\dsa_templates_v1\age_50_54_et_2.2.npz,66,ok,
50-54,2.3,data\dsa_templates_v1\age_50_54_et_2.3.npz,41,ok,
50-54,2.4,data\dsa_templates_v1\age_50_54_et_2.4.npz,58,ok,
50-54,2.5,data\dsa_templates_v1\age_50_54_et_2.5.npz,26,ok,
50-54,2.6,data\dsa_templates_v1\age_50_54_et_2.6.npz,29,ok,
50-54,2.7,data\dsa_templates_v1\age_50_54_et_2.7.npz,22,ok,
50-54,2.8,data\dsa_templates_v1\age_50_54_et_2.8.npz,14,ok,
50-54,2.9,data\dsa_templates_v1\age_50_54_et_2.9.npz,14,ok,
50-54,3.0,data\dsa_templates_v1\age_50_54_et_3.0.npz,8,ok,
55-59,1.0,data\dsa_templates_v1\age_55_59_et_1.0.npz,72,ok,
55-59,1.1,data\dsa_templates_v1\age_55_59_et_1.1.npz,80,ok,
55-59,1.2,data\dsa_templates_v1\age_55_59_et_1.2.npz,84,ok,
55-59,1.3,data\dsa_templates_v1\age_55_59_et_1.3.npz,100,ok,
55-59,1.4,data\dsa_templates_v1\age_55_59_et_1.4.npz,121,ok,
55-59,1.5,data\dsa_templates_v1\age_55_59_et_1.5.npz,125,ok,
55-59,1.6,data\dsa_templates_v1\age_55_59_et_1.6.npz,132,ok,
55-59,1.7,data\dsa_templates_v1\age_55_59_et_1.7.npz,130,ok,
55-59,1.8,data\dsa_templates_v1\age_55_59_et_1.8.npz,96,ok,
55-59,1.9,data\dsa_templates_v1\age_55_59_et_1.9.npz,131,ok,
55-59,2.0,data\dsa_templates_v1\age_55_59_et_2.0.npz,117,ok,
55-59,2.1,data\dsa_templates_v1\age_55_59_et_2.1.npz,102,ok,
55-59,2.2,data\dsa_templates_v1\age_55_59_et_2.2.npz,80,ok,
55-59,2.3,data\dsa_templates_v1\age_55_59_et_2.3.npz,42,ok,
55-59,2.4,data\dsa_templates_v1\age_55_59_et_2.4.npz,52,ok,
55-59,2.5,data\dsa_templates_v1\age_55_59_et_2.5.npz,36,ok,
55-59,2.6,data\dsa_templates_v1\age_55_59_et_2.6.npz,34,ok,
55-59,2.7,data\dsa_templates_v1\age_55_59_et_2.7.npz,32,ok,
55-59,2.8,data\dsa_templates_v1\age_55_59_et_2.8.npz,22,ok,
55-59,2.9,data\dsa_templates_v1\age_55_59_et_2.9.npz,15,ok,
55-59,3.0,data\dsa_templates_v1\age_55_59_et_3.0.npz,11,ok,
