agent,reference_sex,age_bin,target_agent,n_cases_clean,n_windows_clean,n_female,n_male,mean_age,mean_agent,sd_agent,mean_mac,mean_bis,sd_bis,mean_sef,sd_sef,mean_sqi,delta_power_db,theta_power_db,alpha_power_db,beta_power_db,alpha_peak_freq,alpha_peak_power_db,alpha_delta_diff_db,mean_fen2o,mean_fin2o,max_fen2o,max_fin2o,usable_cell
sevo,all,25-29,2.5,11,11,5,6,27.454545454545453,2.492907202375037,0.029979032241846976,1.1213814011034133,31.145392357287083,6.145001897892922,11.1799456467852,1.7448224425233672,97.67215291370044,21.158964094457588,14.631055805167131,10.2989108492537,-2.977861256401361,8.0,13.484464146813947,-10.860053245203888,0.0,0.0,0.0,0.0,True
sevo,all,25-29,2.6,5,5,1,4,27.8,2.624654900965591,0.021037171761649827,1.1814114777433375,32.24771219566465,8.556150142353811,11.227714972446362,2.9141856024569694,98.0540954825282,22.592151885657522,15.49094032358245,11.09183176245993,-1.8320495594601058,8.5,13.778550541093443,-11.50032012319759,0.0,0.0,0.0,0.0,True
sevo,all,25-29,2.7,9,9,4,5,27.22222222222222,2.6999450341384446,0.027486556866092356,1.2756366000545247,32.03567998642447,4.313784174977357,11.102107107687605,2.088329606441889,98.00016233534724,21.358266053917422,14.62670151171188,10.100063570183746,-2.5979130231826084,8.0,13.268675697513341,-11.258202483733676,0.0,0.0,0.0,0.0,True
sevo,all,25-29,2.8,4,4,2,2,28.0,2.8045165836811066,0.01322610759316009,1.326390009233728,30.41085777161643,4.4447749040786615,10.680251926307877,0.982174584661392,98.5664278085033,21.346223763891864,14.232726013681187,9.874486962015132,-3.6966933936158637,8.0,12.87465349592373,-11.471736801876734,0.0,0.0,0.0,0.0,False
sevo,all,25-29,2.9,7,7,4,3,27.285714285714285,2.8946336283171106,0.019462567634472072,1.2862583591015124,30.49695593209139,3.8139098677448655,11.021840487500386,1.8393580234007862,97.82237638568594,20.928069850280338,15.020808849902698,10.223653602090726,-3.06369885534606,8.0,14.10385792033721,-10.704416248189611,0.0,0.0,0.0,0.0,True
sevo,all,25-29,3.0,2,2,1,1,26.0,2.969928414095193,0.01718046868955454,1.3919530992396176,31.041770838946107,2.664466691459929,11.09388802666217,0.1459401977719462,98.64583387374878,19.541848139435114,13.963316891469658,9.873737937408908,-4.625498943899589,8.0,13.149609904921752,-9.668110202026208,0.0,0.0,0.0,0.0,False
sevo,all,30-34,1.0,10,10,5,5,32.2,1.0025364607793743,0.025321979528966407,0.5850813854914547,43.635102202619116,10.391129445992485,15.579143030128131,2.241636595572491,97.85802996228139,15.806745952226198,10.579234615868998,10.663309596566458,-1.8111746535198905,9.75,12.317383745236008,-5.1434363556597384,0.0,0.0,0.0,0.0,True
sevo,all,30-34,1.1,13,13,7,6,32.84615384615385,1.1007397052503598,0.02892866591664523,0.5554737639156744,47.178913757109484,8.00916707471239,15.684850666266032,2.0832550368242697,98.71165158122014,14.021352323081889,8.961239553615611,10.009165113828463,-2.590361892304809,10.5,11.76667727855217,-4.012187209253428,0.0,0.0,0.0,0.0,True
sevo,all,30-34,1.2,18,18,9,9,32.72222222222222,1.2094488025888697,0.024328861758986662,0.6214887276270289,45.65623047225591,8.095433682489762,15.453999335118741,1.9461054024447138,98.41877571937663,15.017902269927099,10.095371018192044,10.394140305671877,-2.301137850200978,10.0,12.018603643317356,-4.623761964255223,0.0,0.0,0.0,0.0,True
sevo,all,30-34,1.3,19,19,11,8,32.31578947368421,1.302668904410185,0.021521456470904095,0.6284539648563511,46.6568051099189,9.219683725855232,15.782745001125232,2.1291430320182645,98.19082078567722,15.394930119982734,10.189147966694582,10.38487561568222,-1.6363963750415655,10.0,12.047925096033463,-5.010054504300514,0.0,0.0,0.0,0.0,True
sevo,all,30-34,1.4,23,23,16,7,32.26086956521739,1.3913193289200654,0.020190334039181915,0.6408330668443881,42.62706323248753,9.437226171989497,14.265099633401395,2.7630842670368208,97.32655907562676,16.87269862742839,10.790624569961052,9.794252903304496,-2.735148368765006,10.0,11.614119946881488,-7.0784457241238945,0.0,0.0,0.0,0.0,True
sevo,all,30-34,1.5,28,28,16,12,32.32142857142857,1.4986235115765816,0.025106184654545786,0.6969112684946074,46.64881856445046,7.491777653979863,15.360656578492906,2.068581001546236,97.87872051138963,15.48327802866795,10.369625590190777,10.996885358660913,-2.038889851884053,10.5,12.481077924800486,-4.486392670007037,0.0,0.0,0.0,0.0,True
sevo,all,30-34,1.6,24,24,14,10,32.0,1.5979326944950218,0.020992569635064465,0.7233533984255498,44.411703009561954,7.509991988588368,14.857268689179586,2.010081780842995,97.9641090358918,16.4954407781896,11.222624602537943,11.496536533959636,-1.97130737219777,10.5,13.104727450479645,-4.998904244229964,0.0,0.0,0.0,0.0,True
