agent,reference_sex,age_bin,target_agent,n_cases_clean,n_windows_clean,n_female,n_male,mean_age,mean_agent,sd_agent,mean_mac,mean_bis,sd_bis,mean_sef,sd_sef,mean_sqi,delta_power_db,theta_power_db,alpha_power_db,beta_power_db,alpha_peak_freq,alpha_peak_power_db,alpha_delta_diff_db,usable_cell
sevo,all,20-24,2.0,9,9,7,2,21.666666666666668,2.007100676132056,0.017875525548729,0.8249942159452648,34.55428964085877,6.627011660508611,12.713780571223683,1.7270683718532938,97.766426426393,20.889229282252845,14.372136115868434,12.695086650495927,-1.2919089042802296,9.5,14.517190051375527,-8.194142631756918,True
sevo,all,20-24,2.1,10,10,7,3,21.6,2.1014999159503107,0.0119679261613486,0.9075110494535572,36.745919298554455,6.303677561398714,13.278078238945454,2.083305540791628,98.13789273262024,20.72071896880877,14.752955684394175,12.839455729313116,-0.9519618312543304,9.25,14.55206965716106,-7.881263239495662,True
sevo,all,20-24,2.2,11,11,7,4,21.90909090909091,2.1965163565219634,0.0235410315749935,0.9253444433646192,38.04092382352912,10.021686568630477,13.586788633166616,2.3539647775820707,97.55290476937184,20.56455307221852,14.410331525905727,12.594873839759652,-0.7146729035012448,9.5,14.41589271915271,-7.969679232458862,True
sevo,all,20-24,2.3,5,5,3,2,22.2,2.2798124715685844,0.0054473900220468,1.0047669282198572,31.225291643142697,4.035275339452636,12.50512810125947,0.9597126706191892,97.513834177653,19.51597412698612,14.490035678227809,11.929563802195576,-2.468681619766149,8.5,15.26941487660624,-7.586410324790539,True
sevo,all,20-24,2.4,8,8,5,3,21.875,2.390321512130322,0.017324323717547,1.0253588927647797,29.163128211411337,5.095920956975526,11.298685533879324,2.00378066536771,98.2732883706689,22.488638828066684,15.921920292676155,12.762570655998417,-1.4354917037829389,8.25,15.6294797359681,-9.726068172068269,True
sevo,all,20-24,2.5,6,6,3,3,21.5,2.501856558992424,0.0228898389634089,1.0460948460593096,31.43787653253724,6.653529103472507,11.00627842122016,2.799356366615176,96.51129078426295,21.189421353199663,14.35393121543495,10.675238981367206,-2.802919143724933,8.5,13.15462083794697,-10.514182371832456,True
sevo,all,20-24,2.6,4,4,3,1,22.25,2.592348559449116,0.0281409162719147,1.1392447950628897,34.400569613526265,5.799309361780165,13.33088800429056,1.055949046823246,97.440079053243,20.046192097331943,15.710575417634692,12.769752700187906,-0.8712379284204318,8.5,15.9296114600423,-7.276439397144037,False
sevo,all,20-24,2.7,5,5,3,2,22.2,2.697388049013292,0.0235169606063733,1.178653664585824,33.218386658032735,4.52424092200195,12.932275113624833,0.8242999220876345,98.38582513650258,20.958172036892915,16.740878244022646,13.446793900978582,-0.5985172302073546,8.5,16.757110400532984,-7.511378135914333,True
sevo,all,20-24,2.8,2,2,1,1,22.5,2.78295247120938,0.0425691171824591,1.1823991320289982,30.46300128015379,2.465915273812343,12.033505488280204,0.0903996076837987,97.78677210360766,22.97225892419486,16.613551606265005,14.320872091010418,-0.6956412164724202,9.25,16.47405127958571,-8.651386833184443,False
sevo,all,20-24,3.0,3,3,2,1,22.33333333333333,3.0206162956750227,0.0333049407899079,1.3480359960606114,27.68110893646048,1.035150334591806,11.098580503049824,0.4146228448791516,98.5586750196086,23.20782381485001,16.882319510361047,12.802081670755385,-1.4767750683919212,8.5,15.875680772794423,-10.405742144094624,False
sevo,all,25-29,1.0,8,8,4,4,26.125,0.9985441126749114,0.0322938623809273,0.508533532164438,46.55225665600349,8.273667817991289,15.589208990118156,2.0715560873348937,98.41840455935647,17.60247663218257,12.39037777573959,13.251269521937724,0.696726592393452,10.5,15.001640062490328,-4.351207110244845,True
sevo,all,25-29,1.1,9,9,5,4,26.11111111111111,1.0917636206123496,0.0225920745507443,0.5546672484539967,52.657757572388206,5.25802849558676,16.985349470411464,1.093283763965788,97.36317335654188,15.102800324344637,10.554463466863847,11.923377454138542,0.5342240137503667,11.5,13.72140769642682,-3.179422870206091,True
sevo,all,25-29,1.2,13,13,7,6,26.615384615384617,1.201820437900292,0.020857464122608,0.550700125373297,46.97387724562715,8.423292953813851,15.659453774195832,2.2091522080434536,97.54752904944696,17.76065331625242,12.117571840612865,13.136004292992356,0.3106616931974617,10.0,14.765715253970487,-4.6246490232600665,True
sevo,all,25-29,1.3,13,13,7,6,26.923076923076923,1.2904306623302635,0.021684321123116,0.5978095131518785,43.143749008174886,11.428918839799556,14.893146124634988,2.816634510307737,98.10427914506349,17.79454519775683,12.433407113778498,12.326494624008207,0.1860754177457318,9.5,14.228278018751022,-5.468050573748622,True
sevo,all,25-29,1.4,15,15,8,7,26.4,1.4026440740107662,0.0235064748510341,0.613599846014339,46.24088934623533,9.028419830209405,15.334760573527053,2.2657043908102947,97.29614061610567,17.766073568117797,12.623674682592688,13.611270961363056,0.6627086165970656,10.5,15.590224350309416,-4.154802606754742,True
sevo,all,25-29,1.5,22,22,13,9,27.181818181818183,1.4969513487049633,0.0187384232841394,0.6690879526579837,43.88374913503049,8.750001314315702,14.765357170019753,2.065906493584555,97.96736314091268,18.748630721171736,13.583969627073616,13.772749896761797,0.5365647290088623,10.0,15.360153113893064,-4.975880824409941,True
sevo,all,25-29,1.6,26,26,17,9,26.807692307692307,1.5953565924598547,0.0172465766522562,0.7120637938917542,42.55211862123166,8.855593456167206,14.48891276708589,2.161785648637649,97.5883821237928,18.86426825817652,13.384606344368686,13.37736551582603,-0.0078691556773478,9.5,15.090881829442754,-5.486902742350485,True
sevo,all,25-29,1.7,19,19,12,7,26.789473684210527,1.7022166584883898,0.021971743323758,0.7591861960980552,38.78443911061214,10.119404343384108,13.694827176457304,2.145313734494491,98.01170195226084,20.44490300286734,14.291238125419328,13.181928727050344,-0.3395950137334628,9.5,14.959942139887737,-7.262974275816996,True
sevo,all,25-29,1.8,14,14,8,6,27.214285714285715,1.790275271347214,0.0262055739299887,0.8132682341270127,36.18186568591212,6.051360190807101,12.948565556938274,1.5192666609917502,97.73997998368884,19.53606321077575,13.43047794406325,11.50791536418627,-2.1882669790689167,9.25,13.177927895427672,-8.02814784658948,True
